domain_name,industry_name
메타버스,IT.정보통신업>게임.애니메이션
메타버스,미디어.광고업>방송.케이블.프로덕션
메타버스,미디어.광고업>신문.잡지.언론사
메타버스,미디어.광고업>광고.홍보.전시
메타버스,미디어.광고업>영화.음반.배급
메타버스,미디어.광고업>연예.엔터테인먼트
메타버스,미디어.광고업>출판.인쇄.사진
메타버스,문화.예술.디자인업>문화.공연.예술
메타버스,문화.예술.디자인업>디자인.CAD
IT,IT.정보통신업>솔루션.SI.CRM.ERP
IT,IT.정보통신업>웹에이전시
IT,IT.정보통신업>쇼핑몰.오픈마켓.소셜커머스
IT,IT.정보통신업>포털.컨텐츠.커뮤니티
IT,IT.정보통신업>네트워크.통신서비스
IT,IT.정보통신업>정보보안
IT,IT.정보통신업>컴퓨터.하드웨어.장비
IT,IT.정보통신업>게임.애니메이션
IT,IT.정보통신업>모바일.APP
IT,IT.정보통신업>IT컨설팅
금융,금융.은행업>은행.금융
금융,금융.은행업>캐피탈.대출
금융,금융.은행업>증권.보험.카드
바이오/헬스,의료.제약업>제약.보건.바이오
게임,IT.정보통신업>게임.애니메이션
e커머스,IT.정보통신업>쇼핑몰.오픈마켓.소셜커머스
방송/통신,IT.정보통신업>네트워크.통신서비스
방송/통신,미디어.광고업>방송.케이블.프로덕션
방송/통신,미디어.광고업>신문.잡지.언론사
방송/통신,미디어.광고업>광고.홍보.전시
방송/통신,미디어.광고업>영화.음반.배급
방송/통신,미디어.광고업>연예.엔터테인먼트
방송/통신,미디어.광고업>출판.인쇄.사진
